     03 08 48.0 0.3  39 54.0 0.8  143 31.1 1.5   20    4.3D 4.4V   (2, 63) FAR E OFF SANRIKU       
     03 09 26.6 0.0  33 48.3 0.1  135 26.1 0.1   16 1  0.3V        (5,191) CENTRAL WAKAYAMA PREF   
     03 10 57.2 0.0  36 55.4 0.0  140 41.1 0.2    6 1  1.9V        (2, 56) EASTERN FUKUSHIMA PREF  
     03 12 38.7 0.1  38 25.2 0.3  142 09.7 0.5   32 1  3.2V        (2, 65) E OFF MIYAGI PREF       
     03 12 39.3 0.0  36 40.7 0.0  139 29.6 0.1    4 1  0.4V        (3, 83) TOCHIGI GUNMA BORDER    
     03 12 47.2 0.0  37 00.3 0.1  140 43.6 0.2    9 1  0.9V        (2, 56) EASTERN FUKUSHIMA PREF  
     03 16 27.9 0.0  36 59.9 0.0  140 36.1 0.1   12 1  1.6V        (2, 56) EASTERN FUKUSHIMA PREF  
     03 17 23.7 0.1  38 19.2 0.3  141 36.0 0.5   54 1  2.1V        (2, 66) KINKAZAN REGION         
     03 17 52.8 0.0  36 59.4 0.0  140 30.9 0.1    6 1  0.8V        (2, 55) MID FUKUSHIMA PREF      
     03 19 12.6 0.1  37 39.9 0.4  141 35.4 0.7   41 2  1.8V        (2, 69) E OFF FUKUSHIMA PREF    
     03 20 07.1 0.0  37 03.8 0.1  140 38.2 0.2   14 1  1.0V        (2, 56) EASTERN FUKUSHIMA PREF  
     03 20 12.7 0.1  24 54.5 1.2  125 38.9 0.9   48 2  2.4V        (7,293) NEAR MIYAKOJIMA ISLAND  
     03 21 26.9 0.1  36 15.9 0.2  141 02.0 0.7   46 1  2.1V        (3,111) E OFF IBARAKI PREF      
     03 24 26.4 0.0  36 55.5 0.1  140 40.9 0.1    5 1  2.3V        (2, 56) EASTERN FUKUSHIMA PREF  
     03 25 43.2 0.0  37 44.9 0.1  140 01.0 0.2    7 2  1.0V        (2, 55) MID FUKUSHIMA PREF      
     03 26 14.4 0.0  36 54.7 0.0  140 42.7 0.1    9 0  1.5V        (2, 56) EASTERN FUKUSHIMA PREF  
     03 27 31.9 0.3  36 49.7 0.5  142 14.5 1.1    6 2  3.0V        (2, 69) E OFF FUKUSHIMA PREF    
     03 28 24.3 0.0  33 05.4 0.1  130 31.3 0.1   10 0  0.5v        (7,264) NORTHERN ARIAKEKAI REG  
     03 30 44.0 0.0  36 58.0 0.0  140 35.4 0.1    8 1  0.8V        (2, 55) MID FUKUSHIMA PREF      
     03 31 13.5 0.1  37 54.0 0.4  141 46.1 0.8   34 2  2.5V        (2, 68) SE OFF MIYAGI PREF      
     03 31 30.6 0.0  23 57.3 0.1  121 30.8 0.5   16 1  2.8v        (8,311) TAIWAN REGION           
     03 34 34.1 0.0  36 55.5 0.0  140 41.0 0.1    6 1  1.2V        (2, 56) EASTERN FUKUSHIMA PREF  
     03 35 48.5 0.1  36 05.2 0.3  140 01.9 0.5   65 1  1.3V        (3, 88) SW IBARAKI PREF         
     03 38 31.5 0.1  44 07.1 1.0  141 41.6 2.1  223                (1,  2) RUMOI REGION            
     03 38 34.8 0.0  36 50.7 0.0  140 35.1 0.1    6 0  1.6V        (3, 86) NORTHERN IBARAKI PREF   
     03 40 27.4 0.0  37 00.5 0.0  140 38.2 0.1    8 1  1.2V        (2, 56) EASTERN FUKUSHIMA PREF  
     03 42 00.9 0.0  36 55.5 0.0  140 40.8 0.1    6 1  1.5V        (2, 56) EASTERN FUKUSHIMA PREF  
     03 42 52.8 0.3  43 08.4 1.4  142 14.5 1.8  155 3  1.4V        (1,  3) KAMIKAWA-SORACHI REGION 
     03 43 16.7 0.0  36 43.4 0.1  140 41.1 0.2   12 1  1.9V        (3, 86) NORTHERN IBARAKI PREF   
     03 46 00.8 0.0  37 43.8 0.1  139 55.7 0.2    8 1  0.8V        (2, 54) WESTERN FUKUSHIMA PREF  
     03 47 07.4 0.0  39 32.1 0.2  142 36.4 0.4   31 1  2.4V        (2, 62) E OFF IWATE PREF        
     03 49 49.4 0.0  36 19.0 0.1  140 55.3 0.4   28 1  1.7V        (3,111) E OFF IBARAKI PREF      
     03 50 44.4 0.0  36 58.5 0.0  140 43.9 0.2   11 1  1.0V        (2, 56) EASTERN FUKUSHIMA PREF  
     03 51 26.0 0.0  36 52.2 0.0  140 40.5 0.1    7 0  1.7V        (3, 86) NORTHERN IBARAKI PREF   
     03 51 53.2 0.0  33 57.5 0.2  135 29.5 0.2   54 1  2.3V        (5,191) CENTRAL WAKAYAMA PREF   
     03 55 38.9 0.1  44 04.1 0.3  141 38.7 0.6    0    1.6V        (1, 21) NW OFF HOKKAIDO         
     03 56 02.6 0.2  28 31.3 0.7  128 56.4 1.6   79 3  1.7V        (7,285) NEAR TOKARA ISLANDS     
     03 56 04.6 0.1  38 36.3 0.2  142 05.7 0.6   44 1  2.7V        (2, 65) E OFF MIYAGI PREF       
     03 59 49.9 0.0  37 00.0 0.0  140 27.7 0.0    8 1  0.8V        (2, 55) MID FUKUSHIMA PREF      
