Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME
,04,53,52.2,0.0,32,11.6,0.3,129,51.8,0.4,14,1,0.1v,,,"(7,283)",W OFF AMAKUSA ISLAND
,04,54,29.3,0.1,38,18.8,0.5,142,06.3,0.8,35,1,2.9V,,,"(2, 65)",E OFF MIYAGI PREF
,04,54,36.0,0.1,35,44.9,0.3,140,55.1,0.8,13,1,2.2V,,,"(3,110)",NEAR CHOSHI CITY
,05,00,54.0,0.1,24,50.2,1.0,122,25.2,0.4,3,,2.6v,,,"(7,289)",NW OFF ISHIGAKIJIMA IS
,05,03,42.2,0.2,42,24.0,0.5,139,21.0,0.8,15,3,1.3V,,,"(1, 18)",SW OFF HOKKAIDO
,05,04,08.0,0.0,31,52.9,0.1,131,05.3,0.1,8,1,0.7V,,,"(7,277)",SOUTHERN MIYAZAKI PREF
,05,13,46.2,0.0,37,27.2,0.1,139,35.6,0.1,4,1,0.6v,,,"(2, 54)",WESTERN FUKUSHIMA PREF
,05,14,32.6,0.0,37,00.7,0.1,140,47.0,0.2,8,1,1.5V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,05,17,38.4,0.0,36,55.7,0.1,140,38.1,0.2,7,1,1.0V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,05,21,16.3,0.0,40,01.4,0.1,140,27.5,0.2,6,1,0.7V,,,"(2, 46)",NORTHERN AKITA PREF
,05,27,07.2,0.0,37,00.8,0.1,140,46.9,0.2,8,1,1.9V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,05,27,15.1,0.0,33,39.8,0.1,134,12.4,0.1,19,1,0.7V,,,"(6,231)",TOKUSHIMA PREF
,05,28,35.4,0.0,32,50.5,0.0,130,46.6,0.1,12,1,0.5V,,,"(7,269)",NW KUMAMOTO PREF
,05,30,17.7,0.0,33,50.3,0.1,135,21.7,0.2,44,1,0.2V,,,"(5,191)",CENTRAL WAKAYAMA PREF
,05,36,34.9,0.2,38,50.5,0.4,142,24.8,0.9,34,3,2.9V,,,"(2, 65)",E OFF MIYAGI PREF
,05,39,24.9,0.1,36,59.9,0.2,140,49.4,0.5,11,1,1.8V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,05,41,47.5,0.0,38,12.8,0.1,140,13.7,0.1,10,1,2.1V,,,"(2, 53)",SOUTHERN YAMAGATA PREF
,05,47,16.1,0.0,36,14.8,0.1,138,01.9,0.2,1,1,1.1v,,,"(4,147)",CENTRAL NAGANO PREF
,05,47,26.4,0.3,23,21.3,1.7,123,39.8,1.0,54,5,2.6V,,,"(7,290)",NEAR ISHIGAKIJIMA ISLAND
,05,47,38.0,0.1,37,43.9,0.2,139,58.0,0.2,9,1,0.3v,,,"(2, 54)",WESTERN FUKUSHIMA PREF
